Age report
1 January 2025 - 6 March 2026
Demographic status,Age,Campaign,Ad group,Status,Bid adj.,Currency code,TrueView avg. CPV,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,18 - 24,North America : Video views - 2025-03-05,Parents,Campaign paused, --,THB,1.54,19,4,21.05%,0.77,3.09,0.00%,0.00,0.00
Enabled,35 - 44,North America : Video views - 2025-03-05,Parents,Campaign paused, --,THB,2.72,102,20,19.61%,2.31,46.16,0.00%,0.00,0.00
Enabled,Unknown,North America : Video views - 2025-03-05,Green Living,Campaign paused, --,THB,0.29,"2,871","1,622",56.50%,0.25,401.51,0.00%,0.00,0.00
Removed,55 - 64,North America : Video views - 2025-03-05,Sustainability + Education,Excluded from ad group, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,North America : Video views - 2025-03-05,Sustainability + Education,Campaign paused, --,THB,0.75,903,151,16.72%,0.57,86.14,0.00%,0.00,0.00
Enabled,65+,North America : Video views - 2025-03-05,Parents,Campaign paused, --,THB,0.10,5,1,20.00%,0.10,0.10,0.00%,0.00,0.00
Removed,45 - 54,North America : Video views - 2025-03-05,Sustainability + Education,Excluded from ad group, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,North America : Video views - 2025-03-05,Parents,Campaign paused, --,THB,2.19,50,16,32.00%,1.78,28.50,0.00%,0.00,0.00
Removed,55 - 64,North America : Video views - 2025-03-05,Green Living,Excluded from ad group, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,North America : Video views - 2025-03-05,Green Living,Campaign paused, --,THB,0.43,"4,916","2,302",46.83%,0.37,846.14,0.00%,0.00,0.00
Enabled,25 - 34,North America : Video views - 2025-03-05,Parents,Campaign paused, --,THB,2.19,70,13,18.57%,1.18,15.34,0.00%,0.00,0.00
Enabled,Unknown,North America : Video views - 2025-03-05,Parents,Campaign paused, --,THB,0,7,1,14.29%,0.00,0.00,0.00%,0.00,0.00
